Park_name,Park_id,Entrance,Start_time,Usage_class,Day_type
Battle Creek Regional Park,51,11,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,11,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,11,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,12,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,12,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,12,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,12,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,12,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,12,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,12,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,12,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,12,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,12,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,12,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,12,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,13,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,13,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,13,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,13,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,13,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,13,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,13,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,13,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,13,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,13,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,13,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,13,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,14,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,14,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,14,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,14,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,14,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,14,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,14,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,14,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,14,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,14,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,14,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,14,06:00 PM,Low,Weekend_holiday
