Park_total_for_summer,Park_id,Park_name,Estimate,Year,Agency_name,Agency_id,Event_visitors,Camping_visitors,Enterprise_operation_visits,Walk_in_visits,Winter_multiplier,Spring_Fall_multiplier,Annual_estimate
1.4066892157277655,55,Grass-Vadnais-Snail Lake Regional Park,281287.21166666667,2018,Ramsey County,6,1.3,0,0,0,0.371,1.444,793123.5008416667
0.541051185367525,56,Highway 96 Regional Trail,108190.76282051283,2018,Ramsey County,6,0,0,0,0,0.299,1.533,306396.2403076923
1.1039976795937938,58,Keller Regional Park,220759.7993269231,2018,Ramsey County,6,1.1,0,0,0,0.371,1.444,622538.8351052885
0.8567654566094929,59,Long Lake Regional Park,171322.25344979297,2018,Ramsey County,6,51,0,0,0,0.371,1.444,533272.1434611672
0.3164923698922182,60,Rice Creek West Regional Trail,63287.08235294118,2018,Ramsey County,6,0,0,0,0,0.299,1.533,179229.0172235294
0.49824497436263426,61,Rice Creek North Regional Trail,99631.06135912698,2018,Ramsey County,6,0,0,0,0,0.299,1.533,282155.16576904757
0.4792895969475724,62,Bruce Vento Regional Trail,95840.6681439394,2018,Saint Paul,7,1.1,0,0,0,0.299,1.533,272520.7721836364
0.6791224893198238,63,Cherokee Heights Regional Park,135800.05396008404,2018,Saint Paul,7,0.6,0,0,0,0.371,1.444,382877.1518976366
7.842040762543314,64,"Como Regional Park, Zoo, & Conservatory",1568125.8910703463,2018,Saint Paul,7,536.1,0,0,0,0.371,1.444,4950374.383363025
1.8008684756759399,65,Lilydale-Harriet Island Regional Park,360108.8758181818,2018,Saint Paul,7,198.25,0,0,0,0.371,1.444,1211956.4854281817
0.8069986959991998,66,Hidden Falls-Crosby Farm Regional Park,161370.69260093168,2018,Saint Paul,7,22,0,0,0,0.371,1.444,476258.49967162265
0.6908810943405173,67,Indian Mounds Regional Park,138151.35173245613,2018,Saint Paul,7,5.3,0,0,0,0.371,1.444,394196.055126864
2.3389033137238924,68,Mississippi Gorge Regional Park,467696.4777432712,2018,Saint Paul,7,34.22,0,0,0,0.299,1.533,1358736.424968944
0.8497855804870983,69,Sam Morgan Regional Trail,169926.52945454547,2018,Saint Paul,7,86.15,0,0,0,0.299,1.533,567381.9314152728
2.1103563060792454,70,Phalen Regional Park,421995.30239028943,2018,Saint Paul,7,61.3,0,0,0,0.371,1.444,1249216.776228665
0.2141211797092605,71,Cottage Grove Ravine Regional Park,42816.529,2018,Washington County,10,1.85,0,0,0,0.371,1.444,122378.529135
1.0102435853323357,72,Lake Elmo Park Reserve,202012.355,2018,Washington County,10,18.7,33.6,0,0,0.371,1.444,620964.779325
0.19875126470585788,73,St. Croix Bluffs Regional Park,39743.099214285714,2018,Washington County,10,1.8,16.4,0,0,0.371,1.444,130076.82428821428
0.34158787329515017,74,Square Lake Special Recreation Feature,68305.27976190476,2018,Washington County,10,0.45,0,0,0,0,1.444,167388.10373809523
0.14551079237872577,75,Central Anoka County Regional Trail,29096.92105263158,2018,Anoka County,1,0,0,0,0,0.299,1.533,82402.48042105263
1.0266306411326502,76,Cedar Lake LRT Regional Trail,205289.17633477633,2018,Three Rivers Park District,9,2.9,0,0,0,0.299,1.533,584278.9473800865
0.16136829093926464,77,Lake Independence Regional Trail,32267.85,2018,Three Rivers Park District,9,0,0,0,0,0.299,1.533,91382.55119999999
0.12961388209415353,78,Eagle Lake Regional Park,25918.11117901706,2018,Three Rivers Park District,9,0,0,0,0,0.371,1.444,72959.48296893304
0.8296534767702152,79,North Cedar Lake Regional Trail,165900.83333333334,2018,Three Rivers Park District,9,1.32,0,0,0,0.299,1.533,471151.16000000003
0.1613598394182712,80,Gale Woods Special Recreation Feature,32266.16,2018,Three Rivers Park District,9,24.8,0,0,0,0.371,1.444,115629.2404
0.42980302061543457,81,Hardwood Creek Regional Park,85945.13406593406,2018,Washington County,10,18,0,0,0,0.299,1.533,261396.61967472525
0.40244599591279545,82,Big Marine Park Reserve,80474.71379679145,2018,Washington County,10,0.5,0,0,0,0.371,1.444,227036.3193379679
0.22277063780097717,83,Pine Point Regional Park,44546.10929523809,2018,Washington County,10,0.3,0,0,0,0.371,1.444,125697.29766609523
0.7713604089672721,84,Silverwood Special Recreation Feature,154244.317936432,2018,Three Rivers Park District,9,15.1,0,0,0,0.371,1.444,449297.75499105605
0.47756713671836415,88,Shingle Creek Regional Trail,95496.23809523809,2018,Three Rivers Park District,9,0,0,0,0,0.299,1.533,270445.34628571424
0.8674162027598732,89,Luce Line Regional Trail,173452.0193236715,2018,Three Rivers Park District,9,0,0,0,0,0.299,1.533,491216.11872463766
0.35396850814474945,90,St. Anthony Parkway Regional Trail,70780.96111111112,2018,Minneapolis Park and Recreation Board,5,0.6,0,0,0,0.299,1.533,201051.68186666665
0.12869077444939958,91,Columbia Parkway Regional Trail,25733.522875816994,2018,Minneapolis Park and Recreation Board,5,0,0,0,0,0.299,1.533,72877.33678431372
0.051015019012957734,92,Ridgway Parkway Regional Trail,10201.167600373483,2018,Minneapolis Park and Recreation Board,5,0,0,0,0,0.299,1.533,28889.706644257705
1.2666033001120747,93,Kenilworth Regional Trail,253275.0707070707,2018,Minneapolis Park and Recreation Board,5,0.6,0,0,0,0.299,1.533,717875.0002424242
0.25341544962829704,94,Luce Line Regional Trail,50673.96865079365,2018,Minneapolis Park and Recreation Board,5,0,0,0,0,0.299,1.533,143508.6792190476
0.3956791038495885,95,River to River Greenway Regional Trail,79121.57894736843,2018,Dakota County,4,0,0,0,0,0.299,1.533,224072.31157894738
0.8608765664419642,96,Dakota Rail Regional Trail,172144.327443609,2018,Three Rivers Park District,9,2,0,0,0,0.299,1.533,489512.7353203007
0.24289044051315295,97,Bassett Creek Regional Trail,48569.34565826331,2018,Three Rivers Park District,9,0,0,0,0,0.299,1.533,137548.38690420167
0.07807351167784923,98,Trout Brook Regional Trail,15611.892207139266,2018,Ramsey County,6,0,0,0,0,0.299,1.533,44212.8787306184
0.5445275941160971,99,Tony Schmidt Regional Park,108885.91944257704,2018,Ramsey County,6,0,0,0,0,0.371,1.444,306513.8632308544
0.26415308824362704,100,Northeast Diagonal Regional Trail,52821.10989010989,2018,Minneapolis Park and Recreation Board,5,0,0,0,0,0.299,1.533,149589.3832087912
0.11209073911709433,101,Northeast Diagonal Regional Trail,22414.11330049261,2018,Three Rivers Park District,9,0,0,0,0,0.299,1.533,63476.76886699507
0.11599260577357295,102,Cedar Lake Farm Regional Park,23194.34619047619,2018,Scott County,8,7.3,1.213,0,0,0.371,0.241,45902.28605904762
0.2728615723011608,103,Shingle Creek Regional Trail,54562.493253968256,2018,Minneapolis Park and Recreation Board,5,0,0,0,0,0.299,1.533,154520.9808952381
0.25620410824037027,104,Dakota Rail Regional Trail,51231.600000000006,2018,Carver County,3,0.8,0,0,0,0.299,1.533,145887.8912
0.36666760705334656,107,Coon Creek Regional Trail,73320.3238095238,2018,Anoka County,1,0,0,0,0,0.299,1.533,207643.1570285714
0.2328006702074153,108,East Anoka County Regional Trail,46551.75476190476,2018,Anoka County,1,0,0,0,0,0.299,1.533,131834.56948571428
0.25229807755332967,109,Rum River Regional Trail,50450.53445378151,2018,Anoka County,1,0,0,0,0,0.299,1.533,142875.91357310925
0.34783259832897484,110,Bunker Hills Regional Trail,69554,2018,Anoka County,1,0,0,0,0,0.299,1.533,196976.928
0.3537813230374225,111,Twin Lakes Regional Trail,70743.53082706768,2018,Three Rivers Park District,9,0,0,0,0,0.299,1.533,200345.67930225565
0.07282561460580295,112,Mississippi West Regional Park,14562.501682206683,2018,Anoka County,1,0,0,0,0,0.371,1.444,40993.442235411814
0.10945001863951483,113,Minnesota River Bluffs Regional Trail,21886.064253393666,2018,Carver County,3,1.75,0,0,0,0.299,1.533,63731.33396561086
0.15624415118167487,114,Spring Lake Regional Park,31243.206483516486,2018,Scott County,8,1.6,0,0,0,0.371,1.444,89549.6262510989
0.4504281335504628,115,Nine Mile Creek Regional Trail,90069.41428571429,2018,Three Rivers Park District,9,0,0,0,0,0.299,1.533,255076.58125714283
0.1565867986110812,116,Southwest Regional Trail,31311.723636363637,2018,Carver County,3,0,0,0,0,0.299,1.533,88674.80133818182
0.00443524391105842,117,Kingswood Special Recreation Feature,886.8891428571428,2018,Three Rivers Park District,9,0,0,0,0,0.371,1.444,2496.592937142857
0.13995833047566594,118,Whitetail Woods Regional Park,27986.628523809522,2018,Dakota County,4,0.7,59.3,0,0,0.371,1.444,138782.3592945238
0.11320587330179194,124,Minnesota River Greenway Regional Trail,22637.1,2018,Dakota County,4,0,0,0,0,0.299,1.533,64108.267199999995
0.25475816612456315,130,Trout Brook Regional Trail,50942.46362116145,2018,Saint Paul,7,0,0,0,0,0.299,1.533,144269.05697512924
0.4359737286656539,131,Crystal Lake Regional Trail,87179.05357142857,2018,Three Rivers Park District,9,1.45,0,0,0,0.299,1.533,248341.0797142857
0.35931360608795115,132,Nokomis-Minnesota River Regional Trail,71849.78831168832,2018,Three Rivers Park District,9,0,0,0,0,0.299,1.533,203478.6004987013
0.05202440540219852,133,Point Douglas Regional Trail,10403.008547008547,2018,Washington County,10,0,0,0,0,0.371,1.444,29284.469059829058
0.5816983595495939,135,Above the Falls Regional Park,116318.73462833554,2018,Minneapolis Park and Recreation Board,5,18,0,0,0,0.299,1.444,337062.2890855244
0.5947045270866165,137,Lakes Link Regional Trail,118919.5,2018,Ramsey County,6,1.6,0,0,0,0.299,1.533,338380.024
0.17107467737722107,140,Nokomis-Minnesota River Bluffs Regional Trail,34208.77792207792,2018,Bloomington,2,0,0,0,0,0.371,1.444,96297.70985064935
NA,NA,Lake Minnetonka Islands,0,NA,Three Rivers Park District,NA,0,0,0,65,0,0,65e3
NA,NA,The Landing Special Recreation Feature,0,NA,Three Rivers Park District,NA,0,100,0,2.741,0,0,102741
