Agency_name,Park_name,Entrance,Date_year,Timeslot,Scheduled_count,Scheduled_date,Start_time,Date,Half_of_summer,Date_object,Day_type,Total_days_by_type,Park_id,Agency_id,Usage_class,ppb_multiplier,ppv_multiplier,Expansion_factor,Expanded_total,Year,Visitor Category,Visitors
Anoka County,East Anoka County Regional Trail,3,June-18-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-18,1,2018-06-18,Weekday,68,108,1,High,0,0,10,2040,2018,Bikers,3
Anoka County,Bunker Hills Regional Trail,3,June-18-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-18,1,2018-06-18,Weekday,68,110,1,High,0,0,8,2720,2018,Bikers,0
Anoka County,Coon Rapids Dam Regional Park,1,June-18-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-06-18,1,2018-06-18,Weekday,68,3,1,High,26.3,2.67,12,219153.12,2018,Bikers,36
Anoka County,Mississippi River Regional Trail,2,June-18-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-18,1,2018-06-18,Weekday,68,6,1,Medium,1,1.76,30,79560,2018,Bikers,2
Anoka County,East Anoka County Regional Trail,5,June-18-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-18,1,2018-06-18,Weekday,68,108,1,Medium,0,0,10,17e3,2018,Bikers,11
Anoka County,Bunker Hills Regional Trail,4,June-18-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-18,1,2018-06-18,Weekday,68,110,1,Medium,0,0,12,9792,2018,Bikers,10
Anoka County,Coon Rapids Dam Regional Park,4,June-17-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-17,1,2018-06-17,Weekend_holiday,33,3,1,High,26.3,2.67,12,37620,2018,Bikers,58
Anoka County,Mississippi River Regional Trail,5,June-17-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-17,1,2018-06-17,Weekend_holiday,33,6,1,Medium,1,1.76,30,8910,2018,Bikers,5
Anoka County,Coon Rapids Dam Regional Park,4,June-14-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-14,1,2018-06-14,Weekday,68,3,1,High,26.3,2.67,12,106896,2018,Bikers,73
Anoka County,Mississippi River Regional Trail,5,June-14-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-14,1,2018-06-14,Weekday,68,6,1,Medium,1,1.76,30,22440,2018,Bikers,7
Anoka County,Rum River Central Regional Park,1,June-13-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-13,1,2018-06-13,Weekday,68,10,1,High,26.3,2.67,6,16201.68,2018,Bikers,4
Anoka County,Lake George Regional Park,3,June-13-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-13,1,2018-06-13,Weekday,68,4,1,Low,60,2.67,12,7344,2018,Bikers,3
Anoka County,Rice Creek Chain of Lakes Park Reserve,1,June-25-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-25,1,2018-06-25,Weekday,68,8,1,High,26.3,2.67,24,32117.760000000002,2018,Bikers,8
Anoka County,Rice Creek North Regional Trail,3,June-25-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-25,1,2018-06-25,Weekday,68,9,1,High,0,0,12,1632,2018,Bikers,1
Anoka County,Rum River Regional Trail,5,June-18-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-18,1,2018-06-18,Weekday,68,109,1,Low,0,0,12,4080,2018,Bikers,3
Anoka County,Central Anoka County Regional Trail,4,June-18-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-18,1,2018-06-18,Weekday,68,75,1,Low,0,0,18,0,2018,Bikers,0
Anoka County,Coon Rapids Dam Regional Park,4,June-25-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-25,1,2018-06-25,Weekday,68,3,1,High,26.3,2.67,12,63648,2018,Bikers,29
Anoka County,Rice Creek West Regional Trail,1,June-19-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-19,1,2018-06-19,Weekday,68,7,1,High,1,1.76,6,3264,2018,Bikers,3
Anoka County,Rum River Central Regional Park,1,June-18-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-18,1,2018-06-18,Weekday,68,10,1,High,26.3,2.67,6,15112.32,2018,Bikers,1
Anoka County,Lake George Regional Park,1,June-18-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-18,1,2018-06-18,Weekday,68,4,1,High,60,2.67,6,66173.52,2018,Bikers,1
Anoka County,Rice Creek North Regional Trail,3,June-27-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-27,1,2018-06-27,Weekday,68,9,1,High,0,0,12,26928,2018,Bikers,17
Anoka County,Rice Creek Chain of Lakes Park Reserve,2,June-27-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-27,1,2018-06-27,Weekday,68,8,1,High,26.3,2.67,24,135015.36,2018,Bikers,0
Anoka County,Martin-Island-Linwood Regional Park,2,June-26-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-26,1,2018-06-26,Weekday,68,5,1,High,26.3,2.67,12,19608.48,2018,Bikers,0
Anoka County,Lake George Regional Park,1,June-24-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-24,1,2018-06-24,Weekend_holiday,33,4,1,High,60,2.67,6,73414.44,2018,Bikers,2
Anoka County,Rum River Central Regional Park,1,June-24-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-24,1,2018-06-24,Weekend_holiday,33,10,1,High,26.3,2.67,6,18501.12,2018,Bikers,8
Anoka County,Mississippi West Regional Park,2,June-23-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-23,1,2018-06-23,Weekend_holiday,33,112,1,Medium,26.3,2.67,6,1782,2018,Bikers,8
Anoka County,Coon Rapids Dam Regional Park,6,June-23-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-23,1,2018-06-23,Weekend_holiday,33,3,1,Low,26.3,2.67,6,12078,2018,Bikers,44
Anoka County,Mississippi River Regional Trail,3,June-23-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-23,1,2018-06-23,Weekend_holiday,33,6,1,Low,1,1.76,36,29700,2018,Bikers,8
Anoka County,Mississippi West Regional Park,1,June-22-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-22,1,2018-06-22,Weekday,68,112,1,High,26.3,2.67,6,1497.3600000000001,2018,Bikers,0
Anoka County,Rice Creek North Regional Trail,6,June-22-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-22,1,2018-06-22,Weekday,68,9,1,Low,0,0,12,29376,2018,Bikers,15
Anoka County,Rice Creek Chain of Lakes Park Reserve,10,June-22-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-22,1,2018-06-22,Weekday,68,8,1,Low,26.3,2.67,18,26928,2018,Bikers,8
Anoka County,Martin-Island-Linwood Regional Park,4,June-21-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-21,1,2018-06-21,Weekday,68,5,1,Medium,26.3,2.67,6,16201.68,2018,Bikers,0
Anoka County,Central Anoka County Regional Trail,3,June-21-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-21,1,2018-06-21,Weekday,68,75,1,High,0,0,6,17544,2018,Bikers,19
Anoka County,Rum River Regional Trail,4,June-21-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-21,1,2018-06-21,Weekday,68,109,1,Medium,0,0,18,133416,2018,Bikers,19
Anoka County,Mississippi West Regional Park,1,June-21-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-21,1,2018-06-21,Weekday,68,112,1,High,26.3,2.67,6,2448,2018,Bikers,0
Anoka County,Coon Rapids Dam Regional Park,6,June-28-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-28,1,2018-06-28,Weekday,68,3,1,Low,26.3,2.67,6,2040,2018,Bikers,1
Anoka County,Mississippi River Regional Trail,7,June-28-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-28,1,2018-06-28,Weekday,68,6,1,Low,1,1.76,36,2448,2018,Bikers,0
Anoka County,Mississippi West Regional Park,1,July-1-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-07-01,1,2018-07-01,Weekend_holiday,33,112,1,High,26.3,2.67,6,0,2018,Bikers,0
Anoka County,Rum River Regional Trail,3,June-29-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-29,1,2018-06-29,Weekday,68,109,1,Low,0,0,12,816,2018,Bikers,1
Anoka County,Central Anoka County Regional Trail,2,June-29-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-29,1,2018-06-29,Weekday,68,75,1,Medium,0,0,6,1224,2018,Bikers,2
Anoka County,Mississippi West Regional Park,1,June-30-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-06-30,1,2018-06-30,Weekend_holiday,33,112,1,High,26.3,2.67,6,4229.28,2018,Bikers,0
Anoka County,Mississippi West Regional Park,2,June-28-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-06-28,1,2018-06-28,Weekday,68,112,1,Medium,26.3,2.67,6,4896,2018,Bikers,9
Anoka County,Rum River Regional Trail,2,June-27-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-06-27,1,2018-06-27,Weekday,68,109,1,Medium,0,0,18,40392,2018,Bikers,20
Anoka County,Central Anoka County Regional Trail,3,June-27-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-27,1,2018-06-27,Weekday,68,75,1,High,0,0,6,2040,2018,Bikers,4
Anoka County,Rice Creek Chain of Lakes Park Reserve,11,July-4-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-07-04,1,2018-07-04,Weekend_holiday,33,8,1,High,26.3,2.67,24,63439.2,2018,Bikers,0
Anoka County,Rice Creek North Regional Trail,3,July-4-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-07-04,1,2018-07-04,Weekend_holiday,33,9,1,High,0,0,12,8316,2018,Bikers,10
Anoka County,Rum River Regional Trail,4,July-4-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-07-04,1,2018-07-04,Weekend_holiday,33,109,1,Medium,0,0,18,38610,2018,Bikers,25
Anoka County,Central Anoka County Regional Trail,1,July-4-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-07-04,1,2018-07-04,Weekend_holiday,33,75,1,High,0,0,6,2970,2018,Bikers,10
Anoka County,Anoka County Riverfront Regional Park,2,July-4-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-07-04,1,2018-07-04,Weekend_holiday,33,1,1,Medium,26.3,2.67,14,127341.05999999998,2018,Bikers,7
Anoka County,Rice Creek West Regional Trail,11,July-4-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-07-04,1,2018-07-04,Weekend_holiday,33,7,1,Medium,1,1.76,30,49500,2018,Bikers,6
Anoka County,Central Anoka County Regional Trail,3,July-3-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-07-03,1,2018-07-03,Weekday,68,75,1,High,0,0,6,47328,2018,Bikers,45
Anoka County,Rum River Regional Trail,4,July-3-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-07-03,1,2018-07-03,Weekday,68,109,1,Medium,0,0,18,124848,2018,Bikers,14
Anoka County,Bunker Hills Regional Park,4,July-1-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-07-01,1,2018-07-01,Weekend_holiday,33,2,1,Medium,22,2.67,18,0,2018,Bikers,0
Anoka County,Coon Creek Regional Trail,4,July-1-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-07-01,1,2018-07-01,Weekend_holiday,33,107,1,Medium,0,0,24,26136,2018,Bikers,5
Anoka County,Rice Creek North Regional Trail,2,June-30-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-30,1,2018-06-30,Weekend_holiday,33,9,1,High,0,0,12,5148,2018,Bikers,12
Anoka County,Rice Creek Chain of Lakes Park Reserve,11,June-30-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-30,1,2018-06-30,Weekend_holiday,33,8,1,High,26.3,2.67,24,27490.32,2018,Bikers,0
Anoka County,East Anoka County Regional Trail,4,June-30-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-30,1,2018-06-30,Weekend_holiday,33,108,1,High,0,0,10,8910,2018,Bikers,19
Anoka County,Bunker Hills Regional Trail,1,June-30-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-30,1,2018-06-30,Weekend_holiday,33,110,1,High,0,0,8,38280,2018,Bikers,49
Anoka County,Rice Creek Chain of Lakes Park Reserve,6,June-28-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-06-28,1,2018-06-28,Weekday,68,8,1,Medium,26.3,2.67,12,35904,2018,Bikers,37
Anoka County,Rice Creek North Regional Trail,4,June-28-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-06-28,1,2018-06-28,Weekday,68,9,1,Medium,0,0,12,57120,2018,Bikers,31
Anoka County,Lake George Regional Park,1,June-28-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-06-28,1,2018-06-28,Weekday,68,4,1,High,60,2.67,6,68352.24,2018,Bikers,1
Anoka County,Rum River Central Regional Park,1,June-28-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-06-28,1,2018-06-28,Weekday,68,10,1,High,26.3,2.67,6,14157.600000000002,2018,Bikers,8
Anoka County,Martin-Island-Linwood Regional Park,3,July-5-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-07-05,1,2018-07-05,Weekday,68,5,1,High,26.3,2.67,12,84692.63999999998,2018,Bikers,2
Anoka County,Anoka County Riverfront Regional Park,3,July-5-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-07-05,1,2018-07-05,Weekday,68,1,1,High,26.3,2.67,10,29240,2018,Bikers,41
Anoka County,Rice Creek West Regional Trail,1,July-5-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-07-05,1,2018-07-05,Weekday,68,7,1,High,1,1.76,6,22848,2018,Bikers,28
Anoka County,Rice Creek West Regional Trail,1,July-8-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-07-08,1,2018-07-08,Weekend_holiday,33,7,1,High,1,1.76,6,2970,2018,Bikers,4
Anoka County,Anoka County Riverfront Regional Park,3,July-8-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-07-08,1,2018-07-08,Weekend_holiday,33,1,1,High,26.3,2.67,10,1650,2018,Bikers,5
Anoka County,Anoka County Riverfront Regional Park,1,July-8-2018,12:00-2:00 PM,No,6/7 12:00-2:00,12:00 PM,2018-07-08,1,2018-07-08,Weekend_holiday,33,1,1,Medium,26.3,2.67,14,4624.62,2018,Bikers,2
Anoka County,Coon Creek Regional Trail,5,July-9-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-07-09,1,2018-07-09,Weekday,68,107,1,High,0,0,20,16320,2018,Bikers,7
Anoka County,Bunker Hills Regional Park,6,July-9-2018,12:00-2:00 PM,Yes,NA,12:00 PM,2018-07-09,1,2018-07-09,Weekday,68,2,1,High,22,2.67,6,21648.48,2018,Bikers,4
Anoka County,Rice Creek North Regional Trail,4,July-8-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-07-08,1,2018-07-08,Weekend_holiday,33,9,1,Medium,0,0,12,28908,2018,Bikers,66
Anoka County,Rice Creek Chain of Lakes Park Reserve,6,July-8-2018,10:00-12:00 PM,Yes,NA,10:00 AM,2018-07-08,1,2018-07-08,Weekend_holiday,33,8,1,Medium,26.3,2.67,12,33264,2018,Bikers,46
Anoka County,Martin-Island-Linwood Regional Park,4,July-8-2018,8:00-10:00 AM,Yes,NA,08:00 AM,2018-07-08,1,2018-07-08,Weekend_holiday,33,5,1,Medium,26.3,2.67,6,1849.3199999999997,2018,Bikers,0
Anoka County,Central Anoka County Regional Trail,1,July-7-2018,6:00-8:00 PM,Yes,NA,06:00 PM,2018-07-07,1,2018-07-07,Weekend_holiday,33,75,1,High,0,0,6,2178,2018,Bikers,2
Anoka County,Rum River Regional Trail,1,July-7-2018,4:00-6:00 PM,Yes,NA,04:00 PM,2018-07-07,1,2018-07-07,Weekend_holiday,33,109,1,Medium,0,0,18,19008,2018,Bikers,4
Anoka County,Martin-Island-Linwood Regional Park,3,July-7-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-07-07,1,2018-07-07,Weekend_holiday,33,5,1,High,26.3,2.67,12,55895.39999999999,2018,Bikers,0
Anoka County,East Anoka County Regional Trail,5,July-8-2018,2:00-4:00 PM,Yes,NA,02:00 PM,2018-07-08,1,2018-07-08,Weekend_holiday,33,108,1,Medium,0,0,10,6270,2018,Bikers,16
