Year,Park_id,Agency_id,Entrance,Expanded_total,Usage_class,Day_type,Total_visitors,Bikers,Peds_skaters,Vehicles,Buses,Horse_riders,Boaters,Start_time,Date,Half_of_summer,Expansion_factor,ppv_multiplier,ppb_multiplier,Total_days_by_type,Park_name,Agency_name,Date_year,Timeslot,Scheduled_count,Scheduled_date,Date_object
2017,2,1,6,14802.48,High,Weekend_holiday,74.76,0,0,28,0,0,0,10:00 AM,2017-05-27,1,6,2.67,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,6,18246.78,High,Weekday,45.39,0,0,17,0,0,0,08:00 AM,2017-07-28,2,6,2.67,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,7,20196,Low,Weekend_holiday,34,25,9,0,0,0,0,08:00 AM,2017-07-16,2,18,2.67,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,6,21197.46,High,Weekday,52.73,0,2,19,0,0,0,02:00 PM,2017-05-30,1,6,2.67,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,9,21466.8,Medium,Weekday,26.7,0,0,10,0,0,0,10:00 AM,2017-08-03,2,12,2.67,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,6,28706.82,High,Weekday,71.41,6,4,23,0,0,0,12:00 PM,2017-07-26,2,6,2.67,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,6,29506.8,High,Weekday,73.4,12,8,20,0,0,0,10:00 AM,2017-08-31,2,6,2.67,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,6,34873.5,High,Weekday,86.75,10,10,25,0,0,0,04:00 PM,2017-06-12,1,6,2.67,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,6,45470.22,High,Weekday,113.11,17,8,33,0,0,0,12:00 PM,2017-06-30,1,6,2.67,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,9,66611.16,Medium,Weekend_holiday,168.21,0,0,63,0,0,0,12:00 PM,2017-08-06,2,12,2.67,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
