Agency_name,Park_name,Entrance,Date_year,Timeslot,Scheduled_count,Scheduled_date,Bikers,Peds_skaters,Vehicles,Buses,Horse_riders,Boaters,Start_time,Date,Half_of_summer,Date_object,Day_type,Total_days_by_type,Park_id,Agency_id,Usage_class,ppb_multiplier,ppv_multiplier,Expansion_factor,Expanded_total,Year
Three Rivers Park District,Fish Lake Regional Park,2,August-17-2018,4:00-6:00 PM,Yes,NA,1,7,0,0,0,0,04:00 PM,2018-08-17,2,2018-08-17,Weekday,68,30,9,Low,39.73,2.75,18,9792,2018
Three Rivers Park District,Gale Woods Special Recreation Feature,1,August-27-2018,4:00-6:00 PM,Yes,NA,0,0,4,0,0,0,04:00 PM,2018-08-27,2,2018-08-27,Weekday,68,80,9,High,46,2.75,6,4488,2018
Three Rivers Park District,Hyland Lake Park Reserve,4,August-17-2018,12:00-2:00 PM,Yes,NA,3,5,1,0,0,0,12:00 PM,2018-08-17,2,2018-08-17,Weekday,68,31,9,Medium,72,2.75,24,17544,2018
Three Rivers Park District,Hyland Lake Park Reserve,1,September-1-2018,12:00-2:00 PM,Yes,NA,0,0,115,0,0,0,12:00 PM,2018-09-01,2,2018-09-01,Weekend_holiday,33,31,9,High,72,2.75,6,62617.5,2018
Three Rivers Park District,Kingswood Special Recreation Feature,1,August-22-2018,12:00-2:00 PM,No,7/4/18 12-2pm,0,2,0,0,0,0,12:00 PM,2018-08-22,2,2018-08-22,Weekday,68,117,9,High,39.73,2.22,6,816,2018
Three Rivers Park District,Kingswood Special Recreation Feature,1,August-27-2018,6:00-8:00 PM,Yes,NA,0,0,0,0,0,0,06:00 PM,2018-08-27,2,2018-08-27,Weekday,68,117,9,High,39.73,2.22,6,0,2018
Three Rivers Park District,Lake Independence Regional Trail,15,September-1-2018,12:00-2:00 PM,Yes,NA,1,0,0,0,0,0,12:00 PM,2018-09-01,2,2018-09-01,Weekend_holiday,33,77,9,Low,0,0,54,1782,2018
Three Rivers Park District,Lake Minnetonka Regional Park,1,August-25-2018,2:00-4:00 PM,Yes,NA,0,0,35,0,0,0,02:00 PM,2018-08-25,2,2018-08-25,Weekend_holiday,33,33,9,High,39.73,2.75,6,19057.5,2018
Three Rivers Park District,Lake Minnetonka Regional Park,3,July-29-2018,10:00-12:00 PM,Yes,NA,2,6,0,0,0,0,10:00 AM,2018-07-29,2,2018-07-29,Weekend_holiday,33,33,9,Low,39.73,2.75,24,6336,2018
Three Rivers Park District,Lake Minnetonka Regional Park,1,September-3-2018,8:00-10:00 AM,Yes,NA,0,0,13,0,0,0,08:00 AM,2018-09-03,2,2018-09-03,Weekend_holiday,33,33,9,High,39.73,2.75,6,7078.5,2018
Three Rivers Park District,Lake Minnetonka Regional Park,4,August-26-2018,2:00-4:00 PM,Yes,NA,0,7,0,0,0,0,02:00 PM,2018-08-26,2,2018-08-26,Weekend_holiday,33,33,9,Medium,39.73,2.75,6,1386,2018
Three Rivers Park District,Lake Minnetonka LRT Regional Trail,9,August-27-2018,8:00-10:00 AM,Yes,NA,4,2,0,0,0,0,08:00 AM,2018-08-27,2,2018-08-27,Weekday,68,39,9,Low,0,0,126,51408,2018
Three Rivers Park District,Lake Minnetonka LRT Regional Trail,7,August-25-2018,12:00-2:00 PM,Yes,NA,7,7,0,0,0,0,12:00 PM,2018-08-25,2,2018-08-25,Weekend_holiday,33,39,9,Medium,0,0,78,36036,2018
Three Rivers Park District,Lake Minnetonka LRT Regional Trail,20,September-2-2018,4:00-6:00 PM,Yes,NA,73,20,0,0,0,0,04:00 PM,2018-09-02,2,2018-09-02,Weekend_holiday,33,39,9,High,0,0,18,55242,2018
Three Rivers Park District,Luce Line Regional Trail,20,August-20-2018,6:00-8:00 PM,Yes,NA,10,1,0,0,0,0,06:00 PM,2018-08-20,2,2018-08-20,Weekday,68,89,9,Medium,0,0,42,31416,2018
Three Rivers Park District,Luce Line Regional Trail,16,August-27-2018,10:00-12:00 PM,Yes,NA,3,5,0,0,0,0,10:00 AM,2018-08-27,2,2018-08-27,Weekday,68,89,9,High,0,0,24,13056,2018
Three Rivers Park District,Luce Line Regional Trail,11,August-26-2018,8:00-10:00 AM,Yes,NA,28,23,0,0,0,0,08:00 AM,2018-08-26,2,2018-08-26,Weekend_holiday,33,89,9,High,0,0,24,40392,2018
Three Rivers Park District,Medicine Lake Regional Trail,44,August-25-2018,8:00-10:00 AM,Yes,NA,19,20,0,0,0,0,08:00 AM,2018-08-25,2,2018-08-25,Weekend_holiday,33,29,9,High,0,0,36,46332,2018
Three Rivers Park District,Gale Woods Special Recreation Feature,1,July-28-2018,2:00-4:00 PM,Yes,NA,2,0,93,0,0,0,02:00 PM,2018-07-28,2,2018-07-28,Weekend_holiday,33,80,9,High,46,2.75,6,51034.5,2018
Three Rivers Park District,Medicine Lake Regional Trail,1,August-17-2018,6:00-8:00 PM,Yes,NA,19,11,0,0,0,0,06:00 PM,2018-08-17,2,2018-08-17,Weekday,68,29,9,Medium,0,0,48,97920,2018
Three Rivers Park District,Medicine Lake Regional Trail,40,August-18-2018,4:00-6:00 PM,Yes,NA,0,1,0,0,0,0,04:00 PM,2018-08-18,2,2018-08-18,Weekend_holiday,33,29,9,Low,0,0,210,6930,2018
Three Rivers Park District,Minnesota River Bluffs Regional Trail,1,September-3-2018,10:00-12:00 PM,Yes,NA,106,7,0,0,0,0,10:00 AM,2018-09-03,2,2018-09-03,Weekend_holiday,33,40,9,High,0,0,18,67122,2018
Three Rivers Park District,Minnesota River Bluffs Regional Trail,15,August-26-2018,2:00-4:00 PM,Yes,NA,0,0,0,0,0,0,02:00 PM,2018-08-26,2,2018-08-26,Weekend_holiday,33,40,9,Low,0,0,84,0,2018
Three Rivers Park District,Minnesota River Bluffs Regional Trail,7,August-9-2018,4:00-6:00 PM,Yes,NA,6,0,0,0,0,0,04:00 PM,2018-08-09,2,2018-08-09,Weekday,68,40,9,High,0,0,18,7344,2018
Three Rivers Park District,Minnesota River Bluffs Regional Trail,1,August-8-2018,10:00-12:00 PM,Yes,NA,16,0,0,0,0,0,10:00 AM,2018-08-08,2,2018-08-08,Weekday,68,40,9,High,0,0,18,19584,2018
Three Rivers Park District,Murphy-Hanrehan Park Reserve (Scott County),1,August-12-2018,4:00-6:00 PM,Yes,NA,7,0,0,0,0,0,04:00 PM,2018-08-12,2,2018-08-12,Weekend_holiday,33,34,9,High,39.73,2.75,6,1386,2018
Three Rivers Park District,North Mississippi Regional Park,2,August-31-2018,2:00-4:00 PM,Yes,NA,10,0,0,0,0,0,02:00 PM,2018-08-31,2,2018-08-31,Weekday,68,36,9,Medium,59.42,2.75,6,4080,2018
Three Rivers Park District,North Mississippi Regional Park,2,August-26-2018,10:00-12:00 PM,Yes,NA,13,3,0,0,0,0,10:00 AM,2018-08-26,2,2018-08-26,Weekend_holiday,33,36,9,Medium,59.42,2.75,6,3168,2018
Three Rivers Park District,North Mississippi Regional Park,1,August-29-2018,8:00-10:00 AM,Yes,NA,2,6,1,0,0,0,08:00 AM,2018-08-29,2,2018-08-29,Weekday,68,36,9,High,59.42,2.75,6,4386,2018
