Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Day_type,Usage_class
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Trail Entrance in Afton Heights Park,14,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Edgebrook Avenue and McKnight Road South,15,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Hillsdale Avenue and McKnight Road,16,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,winthrop Street South and Lower Afton Road,17,04:00 PM,Weekday,Low
