Park_trail,Entrance,Usage_class,Start_time,Day_type
6,6,Medium,800,Weekday
6,10,Medium,800,Weekend_holiday
6,10,Medium,800,Weekday
4,2,Medium,800,Weekend_holiday
4,2,Medium,800,Weekday
4,4,Medium,800,Weekend_holiday
4,4,Medium,800,Weekday
9,1,Medium,800,Weekend_holiday
9,1,Medium,800,Weekday
9,4,Medium,800,Weekend_holiday
9,4,Medium,800,Weekday
8,6,Medium,800,Weekend_holiday
8,6,Medium,800,Weekday
8,7,Medium,800,Weekend_holiday
8,7,Medium,800,Weekday
109,1,Medium,800,Weekend_holiday
109,1,Medium,800,Weekday
109,2,Medium,800,Weekend_holiday
109,2,Medium,800,Weekday
109,4,Medium,800,Weekend_holiday
109,4,Medium,800,Weekday
5,4,Medium,800,Weekend_holiday
5,4,Medium,800,Weekday
112,2,Medium,800,Weekend_holiday
112,2,Medium,800,Weekday
1,1,Medium,1000,Weekend_holiday
1,1,Medium,1000,Weekday
1,4,Medium,1000,Weekend_holiday
1,4,Medium,1000,Weekday
7,2,Medium,1000,Weekend_holiday
7,2,Medium,1000,Weekday
7,10,Medium,1000,Weekend_holiday
7,10,Medium,1000,Weekday
7,11,Medium,1000,Weekend_holiday
7,11,Medium,1000,Weekday
7,13,Medium,1000,Weekend_holiday
7,13,Medium,1000,Weekday
7,14,Medium,1000,Weekend_holiday
7,14,Medium,1000,Weekday
110,4,Medium,1000,Weekend_holiday
110,4,Medium,1000,Weekday
108,5,Medium,1000,Weekend_holiday
108,5,Medium,1000,Weekday
2,3,Medium,1000,Weekend_holiday
2,3,Medium,1000,Weekday
2,4,Medium,1000,Weekend_holiday
2,4,Medium,1000,Weekday
2,9,Medium,1000,Weekend_holiday
2,9,Medium,1000,Weekday
107,4,Medium,1000,Weekend_holiday
107,4,Medium,1000,Weekday
107,5,Medium,1000,Weekend_holiday
107,5,Medium,1000,Weekday
107,6,Medium,1000,Weekend_holiday
107,6,Medium,1000,Weekday
107,7,Medium,1000,Weekend_holiday
107,7,Medium,1000,Weekday
107,8,Medium,1000,Weekend_holiday
107,8,Medium,1000,Weekday
3,3,Medium,1000,Weekend_holiday
3,3,Medium,1000,Weekday
3,5,Medium,1000,Weekend_holiday
3,5,Medium,1000,Weekday
6,2,Medium,1000,Weekend_holiday
6,2,Medium,1000,Weekday
6,4,Medium,1000,Weekend_holiday
6,4,Medium,1000,Weekday
6,5,Medium,1000,Weekend_holiday
6,5,Medium,1000,Weekday
6,6,Medium,1000,Weekend_holiday
6,6,Medium,1000,Weekday
6,10,Medium,1000,Weekend_holiday
6,10,Medium,1000,Weekday
4,2,Medium,1000,Weekend_holiday
4,2,Medium,1000,Weekday
4,4,Medium,1000,Weekend_holiday
4,4,Medium,1000,Weekday
9,1,Medium,1000,Weekend_holiday
9,1,Medium,1000,Weekday
9,4,Medium,1000,Weekend_holiday
9,4,Medium,1000,Weekday
8,6,Medium,1000,Weekend_holiday
8,6,Medium,1000,Weekday
8,7,Medium,1000,Weekend_holiday
8,7,Medium,1000,Weekday
109,1,Medium,1000,Weekend_holiday
109,1,Medium,1000,Weekday
109,2,Medium,1000,Weekend_holiday
109,2,Medium,1000,Weekday
109,4,Medium,1000,Weekend_holiday
109,4,Medium,1000,Weekday
5,4,Medium,1000,Weekend_holiday
