Year,Park,agency,Entrance,totalsum,samclass,daytype,totalall,Biker,Pedskat,Vehicle,Bus,Horse,Boat,orgstart,gooddate,half,expfact,new2008ppv,newppb,day#s,carpeop,buspeop
2016,2,1,9,35370.72,2,1,76.56,0,0,24,0,0,0,800,731,2,14,3.19,22,33,76.56,0
2016,2,1,9,35906.64,2,2,38.28,0,0,12,0,0,0,1400,713,1,14,3.19,22,67,38.28,0
2016,2,1,1,39798,3,2,33,1,32,0,0,0,0,1000,602,1,18,3.19,22,67,0,0
2016,2,1,9,41265.84,2,1,89.32,0,0,28,0,0,0,1200,710,1,14,3.19,22,33,89.32,0
2016,2,1,9,64693.86,2,1,140.03,0,0,37,1,0,0,1400,827,2,14,3.19,22,33,118.03,22
2016,2,1,2,71874,3,1,121,0,0,38,0,0,0,800,528,1,18,3.19,22,33,121.22,0
2016,2,1,9,74805.5,2,2,79.75,0,0,25,0,0,0,1200,712,1,14,3.19,22,67,79.75,0
2016,2,1,9,74805.5,2,2,79.75,0,0,25,0,0,0,1200,729,2,14,3.19,22,67,79.75,0
2016,2,1,3,91924,2,2,98,58,40,0,0,0,0,1800,729,2,14,3.19,22,67,0,0
2016,2,1,9,95441.5,2,2,101.75,0,0,25,1,0,0,1600,708,1,14,3.19,22,67,79.75,22
2016,2,1,9,106112.16,2,1,229.68,0,0,72,0,0,0,1600,813,2,14,3.19,22,33,229.68,0
2016,2,1,9,113704.36,2,2,121.22,0,0,38,0,0,0,1600,620,1,14,3.19,22,67,121.22,0
2017,2,1,3,0,2,2,0,0,0,0,0,0,0,800,816,2,12,2.67,22,67,0,0
2017,2,1,2,2412,3,2,2,0,2,0,0,0,0,1800,721,2,18,2.67,22,67,0,0
2017,2,1,7,4158,3,1,7,4,3,0,0,0,0,1600,624,1,18,2.67,22,33,0,0
2017,2,1,6,7995.24,1,1,40.38,0,3,14,0,0,0,1800,611,1,6,2.67,22,33,37.38,0
2017,2,1,6,8656.56,1,1,43.72,0,1,16,0,0,0,800,625,1,6,2.67,22,33,42.72,0
2017,2,1,3,13068,2,1,33,26,7,0,0,0,0,1200,604,1,12,2.67,22,33,0,0
2017,2,1,3,14472,2,2,18,14,4,0,0,0,0,1200,609,1,12,2.67,22,67,0,0
2017,2,1,7,14472,3,2,12,9,3,0,0,0,0,1200,714,1,18,2.67,22,67,0,0
2017,2,1,6,14802.48,1,1,74.76,0,0,28,0,0,0,1000,527,1,6,2.67,22,33,74.76,0
2017,2,1,6,18246.78,1,2,45.39,0,0,17,0,0,0,800,728,2,6,2.67,22,67,45.39,0
2017,2,1,7,20196,3,1,34,25,9,0,0,0,0,800,716,2,18,2.67,22,33,0,0
2017,2,1,6,21197.46,1,2,52.73,0,2,19,0,0,0,1400,530,1,6,2.67,22,67,50.73,0
2017,2,1,9,21466.8,2,2,26.7,0,0,10,0,0,0,1000,803,2,12,2.67,22,67,26.7,0
2017,2,1,6,28706.82,1,2,71.41,6,4,23,0,0,0,1200,726,2,6,2.67,22,67,61.41,0
2017,2,1,6,29506.8,1,2,73.4,12,8,20,0,0,0,1000,831,2,6,2.67,22,67,53.4,0
2017,2,1,6,34873.5,1,2,86.75,10,10,25,0,0,0,1600,612,1,6,2.67,22,67,66.75,0
2017,2,1,6,45470.22,1,2,113.11,17,8,33,0,0,0,1200,630,1,6,2.67,22,67,88.11,0
2017,2,1,9,66611.16,2,1,168.21,0,0,63,0,0,0,1200,806,2,12,2.67,22,33,168.21,0
2014,3,1,5,1188,1,1,3,2,1,0,0,0,0,1800,810,2,12,3.19,26.3,33,0,0
2014,3,1,3,1683,3,1,17,2,15,0,0,0,0,800,720,2,3,3.19,26.3,33,0,0
2014,3,1,3,3366,3,1,34,25,9,0,0,0,0,1000,524,1,3,3.19,26.3,33,0,0
2014,3,1,3,3876,3,2,19,8,11,0,0,0,0,1000,529,1,3,3.19,26.3,68,0,0
2014,3,1,6,5544,1,1,14,6,8,0,0,0,0,1800,704,1,12,3.19,26.3,33,0,0
2014,3,1,1,6237,2,1,21,4,17,0,0,0,0,1000,817,2,9,3.19,26.3,33,0,0
2014,3,1,6,7344,1,2,9,2,7,0,0,0,0,1200,612,1,12,3.19,26.3,68,0,0
2014,3,1,3,12474,2,1,42,35,7,0,0,0,0,1200,525,1,9,3.19,26.3,33,0,0
2014,3,1,5,17136,2,2,28,10,18,0,0,0,0,1000,605,1,9,3.19,26.3,68,0,0
2014,3,1,1,18402.12,1,1,46.47,3,2,13,0,0,0,1200,831,2,12,3.19,26.3,33,41.47,0
2014,3,1,6,28560,1,2,35,14,21,0,0,0,0,1600,709,1,12,3.19,26.3,68,0,0
2014,3,1,1,66206.16,2,2,108.18,19,19,22,0,0,0,800,828,2,9,3.19,26.3,68,70.18,0
2014,3,1,1,84241.8,2,2,137.65,15,11,35,0,0,0,1000,819,2,9,3.19,26.3,68,111.65,0
2014,3,1,1,90030.6,1,1,227.35,10,10,65,0,0,0,1200,607,1,12,3.19,26.3,33,207.35,0
2014,3,1,1,104060.88,1,1,262.78,28,37,62,0,0,0,1600,706,1,12,3.19,26.3,33,197.78,0
2014,3,1,1,111547.2,1,2,136.7,19,22,30,0,0,0,1400,611,1,12,3.19,26.3,68,95.7,0
2014,3,1,1,224954.88,1,2,275.68,20,26,72,0,0,0,1800,718,2,12,3.19,26.3,68,229.68,0
2015,3,1,3,3150,3,1,30,20,10,0,0,0,0,800,627,1,3,3.19,26.3,35,0,0
2015,3,1,3,3150,3,1,30,20,10,0,0,0,0,800,627,1,3,3.19,26.3,35,0,0
2015,3,1,3,3876,3,2,19,9,10,0,0,0,0,1000,623,1,3,3.19,26.3,68,0,0
2015,3,1,6,5040,1,1,9,3,6,0,0,0,0,1400,524,1,16,3.19,26.3,35,0,0
2015,3,1,3,5100,3,2,25,14,11,0,0,0,0,800,810,2,3,3.19,26.3,68,0,0
2015,3,1,3,7700,2,1,22,8,14,0,0,0,0,1200,606,1,10,3.19,26.3,35,0,0
2015,3,1,4,10640,1,1,19,8,11,0,0,0,0,1800,712,1,16,3.19,26.3,35,0,0
2015,3,1,6,19584,1,2,18,8,10,0,0,0,0,1400,713,1,16,3.19,26.3,68,0,0
2015,3,1,5,31500,2,1,90,56,34,0,0,0,0,1000,809,2,10,3.19,26.3,35,0,0
2015,3,1,1,36876,1,1,65.85,8,10,15,0,0,0,1200,711,1,16,3.19,26.3,35,47.85,0
2015,3,1,5,36992,1,2,34,22,12,0,0,0,0,1400,820,2,16,3.19,26.3,68,0,0
2015,3,1,6,39168,1,2,36,19,17,0,0,0,0,1600,623,1,16,3.19,26.3,68,0,0
2015,3,1,1,77900.8,2,2,114.56,25,13,24,0,0,0,1000,904,2,10,3.19,26.3,68,76.56,0
2015,3,1,4,94656,1,2,87,26,61,0,0,0,0,1200,612,1,16,3.19,26.3,68,0,0
2015,3,1,1,125207.04,1,2,115.08,7,6,32,0,0,0,1800,819,2,16,3.19,26.3,68,102.08,0
2015,3,1,1,160193.6,1,1,286.06,26,24,74,0,0,0,1600,830,2,16,3.19,26.3,35,236.06,0
2015,3,1,1,251556.48,1,2,231.21,26,17,59,0,0,0,1400,707,1,16,3.19,26.3,68,188.21,0
2016,3,1,3,2178,3,1,22,12,10,0,0,0,0,1800,612,1,3,3.19,26.3,33,0,0
2016,3,1,3,2376,3,1,24,17,7,0,0,0,0,800,821,2,3,3.19,26.3,33,0,0
2016,3,1,3,3819,3,2,19,11,8,0,0,0,0,1800,711,1,3,3.19,26.3,67,0,0
2016,3,1,3,5940,2,1,18,10,8,0,0,0,0,1600,618,1,10,3.19,26.3,33,0,0
2016,3,1,6,11390,2,2,17,12,5,0,0,0,0,1000,729,2,10,3.19,26.3,67,0,0
2016,3,1,5,12864,1,2,12,12,0,0,0,0,0,1200,705,1,16,3.19,26.3,67,0,0
2016,3,1,3,29480,2,2,44,33,11,0,0,0,0,1400,707,1,10,3.19,26.3,67,0,0
