Q29,Q1,Q6,Q17,Q18,Q20,Q22,Q26,Q27,Q28,Q18_1,Q22_1,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
Mb,Anoka County,Mississippi West Regional Park,1,July,11,2018,2:00-4:00 PM,Yes,NA,0,0,8,0,0,0
Mb,Anoka County,Anoka County Riverfront Regional Park,1,July,10,2018,12:00-2:00 PM,No,6/19 12-2,0,0,0,0,0,0
Mb,Anoka County,Anoka County Riverfront Regional Park,3,July,17,2018,6:00-8:00 PM,No,6/5 6-8,7,0,0,0,0,0
Jm,Anoka County,East Anoka County Regional Trail,4,July,16,2018,10:00-12:00 PM,Yes,NA,3,8,0,0,0,0
Jm,Anoka County,Bunker Hills Regional Trail,1,July,16,2018,8:00-10:00 AM,Yes,NA,2,5,0,0,0,0
Jm,Anoka County,Mississippi River Regional Trail,3,July,25,2018,4:00-6:00 PM,Yes,NA,0,1,0,0,0,0
Jm,Anoka County,Coon Rapids Dam Regional Park,3,July,25,2018,10:00-12:00 PM,Yes,NA,0,1,0,0,0,0
Jm,Anoka County,Bunker Hills Regional Park,6,July,24,2018,10:00-12:00 PM,Yes,NA,0,6,18,0,0,0
Jm,Anoka County,Coon Creek Regional Trail,2,July,24,2018,8:00-10:00 AM,Yes,NA,3,2,0,0,0,0
Jm,Anoka County,Bunker Hills Regional Trail,1,July,23,2018,10:00-12:00 PM,Yes,NA,2,4,0,0,0,0
Jm,Anoka County,East Anoka County Regional Trail,4,July,23,2018,8:00-10:00 AM,Yes,NA,1,1,0,0,0,0
Jm,Anoka County,Rum River Regional Trail,5,July,22,2018,2:00-4:00 PM,Yes,NA,1,3,0,0,0,0
Jm,Anoka County,Central Anoka County Regional Trail,2,July,22,2018,12:00-2:00 PM,Yes,NA,2,1,0,0,0,0
Rwc,Anoka County,Martin-Island-Linwood Regional Park,3,July,25,2018,6:00-8:00 PM,Yes,NA,0,0,11,0,0,0
Rwc,Anoka County,East Anoka County Regional Trail,5,July,25,2018,6:00-8:00 PM,Yes,NA,20,23,0,0,0,0
Rwc,Anoka County,Bunker Hills Regional Trail,4,July,25,2018,4:00-6:00 PM,Yes,NA,14,17,0,0,0,0
Rwc,Anoka County,Martin-Island-Linwood Regional Park,4,July,24,2018,10:00-12:00 PM,Yes,NA,0,0,13,0,0,0
Rwc,Anoka County,Mississippi West Regional Park,2,July,23,2018,8:00-10:00 AM,Yes,NA,6,4,0,0,0,0
Rwc,Anoka County,Lake George Regional Park,5,July,22,2018,8:00-10:00 AM,Yes,NA,2,4,0,0,0,0
Mc,Anoka County,Rice Creek West Regional Trail,1,July,21,2018,6:00-8:00 PM,Yes,NA,15,18,0,0,0,0
Mc,Anoka County,Anoka County Riverfront Regional Park,3,July,21,2018,4:00-6:00 PM,Yes,NA,29,5,0,0,0,0
Mb,Anoka County,Central Anoka County Regional Trail,3,July,26,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
Mb,Anoka County,Rum River Regional Trail,3,July,26,2018,10:00-12:00 PM,Yes,NA,2,0,0,0,0,0
Mb,Anoka County,Rum River Regional Trail,5,July,23,2018,10:00-12:00 PM,Yes,NA,0,0,0,0,0,0
Mb,Anoka County,Central Anoka County Regional Trail,4,July,23,2018,8:00-10:00 AM,Yes,NA,1,0,0,0,0,0
Mb,Anoka County,Rum River Regional Trail,1,July,21,2018,6:00-8:00 PM,Yes,NA,6,12,0,0,0,0
Mb,Anoka County,Central Anoka County Regional Trail,1,July,21,2018,4:00-6:00 PM,Yes,NA,4,2,0,0,0,0
Mb,Anoka County,Rice Creek North Regional Trail,3,July,21,2018,12:00-2:00 PM,Yes,NA,12,3,0,0,0,0
Mb,Anoka County,Rice Creek Chain of Lakes Park Reserve,2,July,21,2018,10:00-12:00 PM,Yes,NA,11,7,17,0,0,0
Jm,Anoka County,Coon Creek Regional Trail,5,July,29,2018,6:00-8:00 PM,Yes,NA,1,3,0,0,0,0
Jm,Anoka County,Bunker Hills Regional Park,6,July,29,2018,4:00-6:00 PM,Yes,NA,11,3,22,0,0,0
Jm,Anoka County,Coon Rapids Dam Regional Park,6,July,28,2018,4:00-6:00 PM,Yes,NA,12,10,0,0,0,0
Jm,Anoka County,Anoka County Riverfront Regional Park,3,July,28,2018,2:00-4:00 PM,Yes,NA,19,2,0,0,0,0
Jm,Anoka County,Mississippi West Regional Park,1,July,27,2018,10:00-12:00 PM,Yes,NA,0,2,0,0,0,0
Jm,Anoka County,East Anoka County Regional Trail,1,August,1,2018,2:00-4:00 PM,Yes,NA,0,0,0,0,0,0
Jm,Anoka County,Bunker Hills Regional Trail,2,August,1,2018,12:00-2:00 PM,Yes,NA,2,0,0,0,0,0
Mc,Anoka County,Rice Creek North Regional Trail,3,August,2,2018,10:00-12:00 PM,Yes,NA,6,12,0,0,0,0
Mc,Anoka County,Rice Creek Chain of Lakes Park Reserve,2,August,2,2018,8:00-10:00 AM,Yes,NA,0,30,35,0,0,0
Mc,Anoka County,Rice Creek West Regional Trail,3,July,31,2018,4:00-6:00 PM,Yes,NA,11,43,0,0,0,0
Mc,Anoka County,Anoka County Riverfront Regional Park,4,July,31,2018,2:00-4:00 PM,Yes,NA,5,6,0,0,0,0
Rwc,Anoka County,Martin-Island-Linwood Regional Park,2,July,29,2018,10:00-12:00 PM,Yes,NA,0,0,8,0,0,0
Mc,Anoka County,Lake George Regional Park,1,July,29,2018,12:00-2:00 PM,Yes,NA,11,5,61,0,0,0
Mc,Anoka County,Rum River Central Regional Park,1,July,29,2018,10:00-12:00 PM,Yes,NA,0,6,54,0,0,0
Mc,Anoka County,Rice Creek West Regional Trail,1,July,28,2018,2:00-4:00 PM,Yes,NA,16,16,0,0,0,0
Mc,Anoka County,Mississippi River Regional Trail,9,July,28,2018,12:00-2:00 PM,Yes,NA,26,17,0,0,0,0
Jm,Anoka County,Coon Rapids Dam Regional Park,3,August,5,2018,2:00-4:00 PM,Yes,NA,11,5,0,0,0,0
Jm,Anoka County,Mississippi River Regional Trail,11,August,5,2018,12:00-2:00 PM,Yes,NA,0,2,0,0,0,0
Jm,Anoka County,Anoka County Riverfront Regional Park,1,August,4,2018,4:00-6:00 PM,Yes,NA,0,5,1,0,0,0
Jm,Anoka County,Rice Creek West Regional Trail,14,August,4,2018,2:00-4:00 PM,Yes,NA,0,2,0,0,0,0
Mc,Anoka County,Rice Creek North Regional Trail,2,August,8,2018,12:00-2:00 PM,Yes,NA,13,4,0,0,0,0
Mc,Anoka County,Rice Creek Chain of Lakes Park Reserve,1,August,8,2018,10:00-12:00 PM,Yes,NA,59,7,4,0,0,0
