Q29,Q1,Q10,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
AA,Minneapolis Park and Recreation Board,Kenilworth Regional Trail,4,June,28,2018,10:00-12:00 PM,Yes,NA,77,22,0,0,0,0
AA,Minneapolis Park and Recreation Board,Cedar Lake Regional Trail,3,June,28,2018,8:00-10:00 AM,Yes,NA,15,3,0,0,0,0
AA,Minneapolis Park and Recreation Board,Cedar Lake Regional Trail,3,June,27,2018,12:00-2:00 PM,Yes,NA,2,2,0,0,0,0
AA,Minneapolis Park and Recreation Board,Kenilworth Regional Trail,2,June,27,2018,10:00-12:00 PM,Yes,NA,59,13,0,0,0,0
AA,Minneapolis Park and Recreation Board,Victory (Wirth) Memorial Parkway Regional Trail,1,July,1,2018,4:00-6:00 PM,No,6/24/2018,27,9,0,0,0,0
AA,Minneapolis Park and Recreation Board,Northeast Diagonal Regional Trail,5,June,30,2018,6:00-8:00 PM,Yes,NA,8,6,0,0,0,0
AA,Minneapolis Park and Recreation Board,Above the Falls Regional Park,11,June,30,2018,4:00-6:00 PM,Yes,NA,21,13,0,0,0,0
AA,Minneapolis Park and Recreation Board,Victory (Wirth) Memorial Parkway Regional Trail,1,June,30,2018,2:00-4:00 PM,No,6/23/2018,22,7,0,0,0,0
DM,Minneapolis Park and Recreation Board,Luce Line Regional Trail,9,June,30,2018,8:00-10:00 AM,Yes,NA,4,7,0,0,0,0
DM,Minneapolis Park and Recreation Board,Cedar Lake Regional Trail,3,June,30,2018,10:00-12:00 PM,Yes,NA,35,4,0,0,0,0
DM,Minneapolis Park and Recreation Board,Theodore Wirth Regional Park,7,June,30,2018,12:00-2:00 PM,Yes,NA,17,3,16,0,0,0
DM,Minneapolis Park and Recreation Board,St. Anthony Parkway Regional Trail,10,June,28,2018,10:00-12:00 PM,Yes,NA,6,5,0,0,0,0
DM,Minneapolis Park and Recreation Board,Northeast Diagonal Regional Trail,6,June,28,2018,12:00-2:00 PM,Yes,NA,5,1,0,0,0,0
DM,Minneapolis Park and Recreation Board,Theodore Wirth Regional Park,5,June,27,2018,2:00-4:00 PM,Yes,NA,8,13,0,0,0,0
DM,Minneapolis Park and Recreation Board,Victory (Wirth) Memorial Parkway Regional Trail,11,June,27,2018,4:00-6:00 PM,Yes,NA,8,4,0,0,0,0
DM,Minneapolis Park and Recreation Board,Northeast Diagonal Regional Trail,1,June,26,2018,12:00-2:00 PM,Yes,NA,7,13,0,0,0,0
DM,Minneapolis Park and Recreation Board,St. Anthony Parkway Regional Trail,7,June,26,2018,2:00-4:00 PM,Yes,NA,2,10,0,0,0,0
AA,Minneapolis Park and Recreation Board,Mississippi Gorge Regional Park,21,July,2,2018,4:00-6:00 PM,Yes,NA,16,10,4,0,0,0
AA,Minneapolis Park and Recreation Board,Minnehaha Regional Park,5,July,2,2018,2:00-4:00 PM,Yes,NA,8,45,8,0,0,0
DM,Minneapolis Park and Recreation Board,Nokomis-Hiawatha Regional Park,20,July,4,2018,6:00-8:00 PM,Yes,NA,0,0,14,0,0,0
DM,Minneapolis Park and Recreation Board,Victory (Wirth) Memorial Parkway Regional Trail,12,July,3,2018,4:00-6:00 PM,Yes,NA,6,8,0,0,0,0
DM,Minneapolis Park and Recreation Board,Theodore Wirth Regional Park,10,July,3,2018,2:00-4:00 PM,Yes,NA,0,0,5,0,0,0
DM,Minneapolis Park and Recreation Board,Shingle Creek Regional Trail,6,July,3,2018,10:00-12:00 PM,Yes,NA,4,1,0,0,0,0
DM,Minneapolis Park and Recreation Board,North Mississippi Regional Park,11,July,3,2018,8:00-10:00 AM,Yes,NA,4,1,0,0,0,0
DM,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,6,July,2,2018,2:00-4:00 PM,Yes,NA,2,2,0,0,0,0
AA,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,19,July,4,2018,2:00-4:00 PM,Yes,NA,46,11,0,0,0,0
AA,Minneapolis Park and Recreation Board,Kenilworth Regional Trail,1,July,4,2018,10:00-12:00 PM,Yes,NA,71,10,0,0,0,0
AA,Minneapolis Park and Recreation Board,Cedar Lake Regional Trail,5,July,4,2018,8:00-10:00 AM,Yes,NA,28,9,0,0,0,0
VDZ,Minneapolis Park and Recreation Board,Above the Falls Regional Park,8,July,4,2018,12:00-2:00 PM,Yes,NA,39,29,0,0,0,0
VDZ,Minneapolis Park and Recreation Board,North Mississippi Regional Park,4,July,4,2018,4:00-6:00 PM,Yes,NA,0,7,7,0,0,0
VDZ,Minneapolis Park and Recreation Board,Shingle Creek Regional Trail,3,July,4,2018,6:00-8:00 PM,Yes,NA,3,7,0,0,0,0
AA,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,11,July,8,2018,10:00-12:00 PM,Yes,NA,17,11,0,0,0,0
AA,Minneapolis Park and Recreation Board,Shingle Creek Regional Trail,2,July,7,2018,4:00-6:00 PM,No,6/30/2018,19,8,0,0,0,0
VDZ,Minneapolis Park and Recreation Board,Mississippi Gorge Regional Park,20,July,7,2018,12:00-2:00 PM,Yes,NA,23,11,2,0,0,0
VDZ,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,1,July,7,2018,2:00-4:00 PM,No,6/30/18 2-4pm,175,9,0,0,0,0
VDZ,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,37,July,7,2018,4:00-6:00 PM,Yes,NA,18,5,0,0,0,0
ara,Minneapolis Park and Recreation Board,Nokomis-Hiawatha Regional Park,17,June,30,2018,4:00-6:00 PM,Yes,NA,0,0,42,0,0,0
mh,Minneapolis Park and Recreation Board,Kenilworth Regional Trail,2,June,30,2018,8:00-10:00 AM,Yes,NA,107,51,0,0,0,0
DM,Minneapolis Park and Recreation Board,Ridgeway Parkway Regional Trail,1,July,8,2018,12:00-2:00 PM,Yes,NA,1,5,0,0,0,0
DM,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,3,July,8,2018,10:00-12:00 PM,Yes,NA,1,5,0,0,0,0
DM,Minneapolis Park and Recreation Board,Minnehaha Regional Park,1,July,7,2018,10:00-12:00 PM,Yes,NA,89,27,42,0,0,0
AA,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,3,July,9,2018,4:00-6:00 PM,Yes,NA,6,18,0,0,0,0
AA,Minneapolis Park and Recreation Board,St. Anthony Parkway Regional Trail,6,July,9,2018,12:00-2:00 PM,No,7/2/2018,0,0,0,0,0,0
AA,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,10,July,10,2018,4:00-6:00 PM,Yes,NA,22,15,3,0,0,0
DM,Minneapolis Park and Recreation Board,Ridgeway Parkway Regional Trail,3,July,11,2018,10:00-12:00 PM,Yes,NA,0,3,0,0,0,0
DM,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,5,July,11,2018,8:00-10:00 AM,Yes,NA,3,8,0,0,0,0
DM,Minneapolis Park and Recreation Board,Victory (Wirth) Memorial Parkway Regional Trail,11,July,10,2018,6:00-8:00 PM,Yes,NA,7,13,0,0,0,0
DM,Minneapolis Park and Recreation Board,Theodore Wirth Regional Park,8,July,10,2018,4:00-6:00 PM,Yes,NA,0,0,32,0,0,0
AA,Minneapolis Park and Recreation Board,St. Anthony Parkway Regional Trail,2,July,11,2018,2:00-4:00 PM,Yes,NA,1,3,0,0,0,0
VDZ,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,30,July,9,2018,6:00-8:00 PM,Yes,NA,15,37,7,0,0,0
VDZ,Minneapolis Park and Recreation Board,North Mississippi Regional Park,2,July,12,2018,12:00-2:00 PM,Yes,NA,3,3,0,0,0,0
VDZ,Minneapolis Park and Recreation Board,Shingle Creek Regional Trail,2,July,12,2018,10:00-12:00 PM,Yes,NA,4,8,0,0,0,0
VDZ,Minneapolis Park and Recreation Board,Northeast Diagonal Regional Trail,5,July,11,2018,4:00-6:00 PM,Yes,NA,11,0,0,0,0,0
VDZ,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,4,July,10,2018,12:00-2:00 PM,Yes,NA,7,16,15,0,0,0
Tl,Minneapolis Park and Recreation Board,Mississippi Gorge Regional Park,1,July,30,2018,4:00-6:00 PM,Yes,NA,4,3,1,0,0,0
Tl,Minneapolis Park and Recreation Board,Minnehaha Regional Park,6,July,30,2018,2:00-4:00 PM,Yes,NA,2,3,5,0,0,0
Tl,Minneapolis Park and Recreation Board,Minnehaha Regional Park,14,July,25,2018,10:00-12:00 PM,Yes,NA,7,9,1,0,0,0
Tl,Minneapolis Park and Recreation Board,Mississippi Gorge Regional Park,16,July,25,2018,8:00-10:00 AM,Yes,NA,16,18,10,0,0,0
Tl,Minneapolis Park and Recreation Board,Kenilworth Regional Trail,1,June,24,2018,4:00-6:00 PM,Yes,NA,49,3,0,0,0,0
Tl,Minneapolis Park and Recreation Board,Theodore Wirth Regional Park,5,June,24,2018,2:00-4:00 PM,Yes,NA,0,5,0,0,0,0
Tl,Minneapolis Park and Recreation Board,Ridgeway Parkway Regional Trail,1,July,2,2018,12:00-2:00 PM,Yes,NA,2,3,0,0,0,0
Tl,Minneapolis Park and Recreation Board,Northeast Diagonal Regional Trail,1,July,2,2018,2:00-4:00 PM,Yes,NA,4,3,0,0,0,0
Tl,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,47,June,23,2018,6:00-8:00 PM,Yes,NA,1,5,0,0,0,0
Tl,Minneapolis Park and Recreation Board,Cedar Lake Regional Trail,2,June,23,2018,4:00-6:00 PM,Yes,NA,0,4,0,0,0,0
Tl,Minneapolis Park and Recreation Board,Kenilworth Regional Trail,3,June,23,2018,2:00-4:00 PM,Yes,NA,12,35,0,0,0,0
Tl,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,8,June,22,2018,8:00-10:00 AM,Yes,NA,2,5,0,0,0,0
Tl,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,55,June,21,2018,4:00-6:00 PM,Yes,NA,29,8,0,0,0,0
