Q29,Q1,Q11,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q20,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trails,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
Bb,Ramsey County,Long Lake Regional Park,1,June,24,2018,4:00-6:00 PM,Yes,NA,8,12,7,0,0,0
Bb,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,2,June,24,2018,10:00-12:00 PM,Yes,NA,14,8,13,0,0,0
Bb,Ramsey County,Rice Creek North Regional Trail,2,June,23,2018,12:00-2:00 PM,Yes,NA,10,9,8,0,0,0
Bb,Ramsey County,Long Lake Regional Park,1,June,23,2018,10:00-12:00 PM,Yes,NA,20,15,24,0,0,0
Bb,Ramsey County,Tony Schmidt Regional Park,2,June,23,2018,8:00-10:00 AM,Yes,NA,15,18,20,0,0,0
Bb,Ramsey County,Highway 96 Regional Trail,8,June,9,2018,10:00-12:00 PM,Yes,NA,10,15,20,0,0,0
Bb,Ramsey County,Long Lake Regional Park,1,June,24,2018,4:00-6:00 PM,No,July 1st 4-6,18,16,98,0,0,0
Bb,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,10,June,10,2018,4:00-6:00 PM,Yes,NA,8,9,7,0,0,0
Bb,Ramsey County,Long Lake Regional Park,8,June,9,2018,2:00-4:00 PM,Yes,NA,0,6,3,0,0,0
Bb,Ramsey County,Rice Creek West Regional Trail,5,June,8,2018,10:00-12:00 PM,Yes,NA,5,2,3,0,0,0
Bb,Ramsey County,Rice Creek North Regional Trail,3,July,14,2018,6:00-8:00 PM,Yes,NA,14,16,12,0,0,0
Bb,Ramsey County,Rice Creek West Regional Trail,6,July,14,2018,4:00-6:00 PM,Yes,NA,10,12,9,0,0,0
Bb,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,1,July,14,2018,12:00-2:00 PM,Yes,NA,12,16,9,0,0,0
Bb,Ramsey County,Tony Schmidt Regional Park,1,July,11,2018,2:00-4:00 PM,Yes,NA,11,14,30,0,0,0
RC,Ramsey County,Battle Creek Regional Park,1,July,7,2018,10:00-12:00 PM,Yes,NA,0,1,107,0,0,0
RL,Ramsey County,Bruce Vento Regional Trail,2,July,8,2018,8:00-10:00 AM,Yes,NA,7,16,0,0,0,0
RL,Ramsey County,Highway 96 Regional Trail,3,July,7,2018,10:00-12:00 PM,Yes,NA,6,7,0,0,0,0
RL,Ramsey County,Birch Lake Regional Park,6,July,7,2018,8:00-10:00 AM,Yes,NA,2,21,0,0,0,0
RL,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,1,July,9,2018,4:00-6:00 PM,Yes,NA,15,10,33,0,0,0
