Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category).",Q29 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID29_TEXT_77540d44a0a84b7c96d62ef5Topics""}"
6/15/2018 0:56,6/15/2018 0:59,Offline,66.41.13.58,100,0,TRUE,6/15/2018 1:02,R_kl3bQhiFuiDcaAE,,,,,45.01409912,-93.03050232,,EN,EL,Ramsey County,Battle Creek Regional Park,3,June,7,2018,2:00-4:00 PM,No,5/31/2018 14:00,2,0,24,0,0,0,Unknown
6/15/2018 0:55,6/15/2018 0:56,Offline,66.41.13.58,100,0,TRUE,6/15/2018 1:02,R_iG7YRh0NtAUimao,,,,,45.01409912,-93.03050232,,EN,EL,Ramsey County,Bruce Vento Regional Trail,1,June,6,2018,6:00-8:00 PM,Yes,,1,3,0,0,0,0,Unknown
6/15/2018 0:53,6/15/2018 0:55,Offline,66.41.13.58,100,0,TRUE,6/15/2018 1:02,R_h1Otzn1J4HndvqG,,,,,45.01409912,-93.03050232,,EN,EL,Ramsey County,Battle Creek Regional Park,1,June,6,2018,4:00-6:00 PM,Yes,,1,3,41,1,0,0,Unknown
6/15/2018 0:46,6/15/2018 0:53,Offline,66.41.13.58,100,0,TRUE,6/15/2018 1:02,R_aNWO650LdXs68Ai,,,,,45.01409912,-93.03050232,,EN,EL,Ramsey County,Trout Brook Regional Trail,2,May,28,2018,2:00-4:00 PM,Yes,,3,1,0,0,0,0,Unknown
6/15/2018 20:27,6/15/2018 20:29,Offline,71.34.31.7,100,0,TRUE,6/15/2018 20:29,R_ljVAVaz2PxoQIBY,,,,,44.980033,-93.079852,,EN,GE,Ramsey County,Bruce Vento Regional Trail,9,June,15,2018,12:00-2:00 PM,Yes,,1,1,0,0,0,0,Unknown
6/15/2018 20:25,6/15/2018 20:27,Offline,71.34.31.7,100,0,TRUE,6/15/2018 20:29,R_0G8ZOk7DegzoPG1,,,,,44.980052,-93.079857,,EN,GE,Ramsey County,Trout Brook Regional Trail,3,June,12,2018,10:00-12:00 PM,Yes,,3,4,0,0,0,0,Unknown
6/15/2018 20:24,6/15/2018 20:25,Offline,71.34.31.7,100,0,TRUE,6/15/2018 20:29,R_mnnG5Uwto1bxiIP,,,,,44.980185,-93.079854,,EN,GE,Ramsey County,Keller Regional Park,7,June,10,,12:00-2:00 PM,Yes,,0,0,34,0,0,0,Unknown
6/22/2018 20:33,6/22/2018 20:34,Offline,71.34.23.86,100,0,TRUE,6/22/2018 20:34,R_9ZwQFG8K5TOxMsZ,,,,,44.980061,-93.079881,,EN,GE,Ramsey County,Highway 96 Regional Trail,8,June,20,2018,4:00-6:00 PM,Yes,,2,4,0,0,0,0,Unknown
6/22/2018 20:31,6/22/2018 20:32,Offline,71.34.23.86,100,0,TRUE,6/22/2018 20:34,R_ban4YjxjvUh1e4H,,,,,44.979954,-93.079757,,EN,GE,Ramsey County,Bruce Vento Regional Trail,2,June,19,2018,8:00-10:00 AM,Yes,,6,7,0,0,0,0,Unknown
6/22/2018 20:29,6/22/2018 20:31,Offline,71.34.23.86,100,0,TRUE,6/22/2018 20:34,R_b505tQZUC3EFHMN,,,,,44.979918,-93.079728,,EN,GE,Ramsey County,Trout Brook Regional Trail,2,June,17,2018,10:00-12:00 PM,Yes,,6,0,0,0,0,0,Unknown
6/22/2018 20:28,6/22/2018 20:29,Offline,71.34.23.86,100,0,TRUE,6/22/2018 20:34,R_atHKIcueZMJ6zgQ,,,,,44.979896,-93.079775,,EN,GE,Ramsey County,Bald Eagle-Otter Lake Regional Park,3,June,16,2018,2:00-4:00 PM,Yes,,0,0,30,0,0,0,Unknown
6/22/2018 20:26,6/22/2018 20:28,Offline,71.34.23.86,100,0,TRUE,6/22/2018 20:34,R_lzN6LjgGlqrdk3D,,,,,44.979898,-93.07984,,EN,GE,Ramsey County,Trout Brook Regional Trail,1,June,16,2018,10:00-12:00 PM,No,6/23/2018  10:00-12:00,0,0,0,0,0,0,Unknown
6/26/2018 11:06,6/26/2018 11:07,Offline,73.164.80.83,100,0,TRUE,6/26/2018 11:07,R_3DZV5EjgZoIYWko,,,,,45.055675,-92.952427,,EN,LM,Ramsey County,Lakes Link Regional Trail,1,June,25,2018,10:00-12:00 PM,Yes,,17,21,0,0,0,0,Unknown
6/26/2018 11:04,6/26/2018 11:05,Offline,73.164.80.83,100,0,TRUE,6/26/2018 11:07,R_fT08xmyWT1iNHAm,,,,,45.055656,-92.952346,,EN,LM,Ramsey County,Bald Eagle-Otter Lake Regional Park,2,June,24,2018,8:00-10:00 AM,Yes,,0,4,25,0,0,0,Unknown
6/26/2018 11:03,6/26/2018 11:04,Offline,73.164.80.83,100,0,TRUE,6/26/2018 11:07,R_9ybLSj1RwzfPZex,,,,,45.055778,-92.952221,,EN,LM,Ramsey County,Bald Eagle-Otter Lake Regional Park,1,June,20,2018,8:00-10:00 AM,Yes,,0,4,8,0,0,0,Unknown
6/26/2018 11:00,6/26/2018 11:01,Offline,73.164.80.83,100,0,TRUE,6/26/2018 11:07,R_8nXiZz31V3kqypy,,,,,45.055933,-92.952204,,EN,LM,Ramsey County,Battle Creek Regional Park,10,June,19,2018,10:00-12:00 PM,Yes,,0,0,15,0,0,0,Unknown
6/19/2018 12:09,6/19/2018 12:10,Offline,73.164.80.83,100,0,TRUE,6/26/2018 11:07,R_lJ8hYJSWqaDCqtU,,,,,45.055703,-92.952341,,EN,LM,Ramsey County,Battle Creek Regional Park,10,June,10,2018,10:00-12:00 PM,Yes,,0,0,15,0,0,0,Unknown
6/26/2018 21:31,6/26/2018 21:32,Offline,71.34.23.86,100,0,TRUE,6/26/2018 21:33,R_mwwjkhuK8n0aWrV,,,,,44.980009,-93.079781,,EN,GE,Ramsey County,Lakes Link Regional Trail,9,June,25,2018,4:00-6:00 PM,Yes,,18,49,0,0,0,0,Unknown
6/26/2018 21:29,6/26/2018 21:31,Offline,71.34.23.86,100,0,TRUE,6/26/2018 21:33,R_5jcXAKxc1KzW6bR,,,,,44.980054,-93.079798,,EN,GE,Ramsey County,Bruce Vento Regional Trail,4,June,23,2018,4:00-6:00 PM,Yes,,3,0,0,0,0,0,Unknown
6/26/2018 21:28,6/26/2018 21:29,Offline,71.34.23.86,100,0,TRUE,6/26/2018 21:33,R_mW3MNeewO5bVA6X,,,,,44.980007,-93.079744,,EN,GE,Ramsey County,Keller Regional Park,7,June,23,2018,12:00-2:00 PM,Yes,,0,0,67,0,0,0,Unknown
6/26/2018 21:26,6/26/2018 21:28,Offline,71.34.23.86,100,0,TRUE,6/26/2018 21:33,R_gkv5jtzIhBck8Dv,,,,,44.980021,-93.079856,,EN,GE,Ramsey County,Rice Creek West Regional Trail,1,June,23,2018,10:00-12:00 PM,Yes,,2,1,0,0,0,0,Unknown
6/26/2018 23:45,6/26/2018 23:46,Offline,66.41.13.58,100,0,TRUE,6/26/2018 23:46,R_lsaBTWEUDc3b2Wm,,,,,44.999075,-93.002261,,EN,EL,Ramsey County,Trout Brook Regional Trail,4,June,26,2018,6:00-8:00 PM,Yes,,0,0,0,0,0,0,Unknown
6/26/2018 23:44,6/26/2018 23:45,Offline,66.41.13.58,100,0,TRUE,6/26/2018 23:46,R_oePbsDn3YivYVAk,,,,,44.999075,-93.002261,,EN,EL,Ramsey County,Bruce Vento Regional Trail,1,June,23,2018,6:00-8:00 PM,Yes,,2,0,0,0,0,0,Unknown
6/26/2018 23:41,6/26/2018 23:43,Offline,66.41.13.58,100,1,TRUE,6/26/2018 23:46,R_arYDJMSXAMMq51s,,,,,44.999075,-93.002261,,EN,EL,Ramsey County,Battle Creek Regional Park,3,June,23,2018,4:00-6:00 PM,Yes,,1,3,11,0,0,0,Unknown
6/26/2018 23:39,6/26/2018 23:41,Offline,66.41.13.58,100,0,TRUE,6/26/2018 23:47,R_axi3oTbSo7DTxjW,,,,,44.998928,-93.002352,,EN,EL,Ramsey County,Battle Creek Regional Park,22,June,23,2018,2:00-4:00 PM,Yes,,2,0,0,0,0,0,Unknown
6/26/2018 23:38,6/26/2018 23:39,Offline,66.41.13.58,100,0,TRUE,6/26/2018 23:47,R_clKfIzLZbGdDgUL,,,,,44.999164,-93.002607,,EN,EL,Ramsey County,Trout Brook Regional Trail,2,June,20,2018,6:00-8:00 PM,Yes,,9,0,0,0,0,0,Unknown
6/26/2018 23:36,6/26/2018 23:38,Offline,66.41.13.58,100,0,TRUE,6/26/2018 23:47,R_jUve8BHFCPkcmpe,,,,,44.999164,-93.002607,,EN,EL,Ramsey County,Trout Brook Regional Trail,2,June,19,2018,2:00-4:00 PM,Yes,,0,1,0,0,0,0,Unknown
6/26/2018 23:34,6/26/2018 23:36,Offline,66.41.13.58,100,0,TRUE,6/26/2018 23:47,R_3t8q9SaMmQnoh7F,,,,,44.999008,-93.002484,,EN,EL,Ramsey County,Battle Creek Regional Park,24,June,15,2018,2:00-4:00 PM,Yes,,0,4,0,0,0,0,Unknown
7/11/2018 16:47,7/11/2018 16:48,Offline,71.34.25.151,100,0,TRUE,7/11/2018 16:48,R_avQ97ufUsKUyubr,,,,,44.980064,-93.079848,,EN,GE,Ramsey County,Trout Brook Regional Trail,2,July,11,2018,12:00-2:00 PM,Yes,,0,12,0,0,0,0,Unknown
7/11/2018 16:45,7/11/2018 16:46,Offline,71.34.25.151,100,0,TRUE,7/11/2018 16:48,R_6TEB2y88xbY2Bv7,,,,,44.980005,-93.079782,,EN,GE,Ramsey County,Lakes Link Regional Trail,5,July,11,2018,10:00-12:00 PM,Yes,,2,10,0,0,0,0,Unknown
7/11/2018 16:44,7/11/2018 16:45,Offline,71.34.25.151,100,0,TRUE,7/11/2018 16:48,R_bwdWTQNx4DygANE,,,,,44.98005,-93.079809,,EN,GE,Ramsey County,Bald Eagle-Otter Lake Regional Park,3,July,9,2018,6:00-8:00 PM,Yes,,0,0,19,0,0,0,Unknown
7/11/2018 16:43,7/11/2018 16:44,Offline,71.34.25.151,100,0,TRUE,7/11/2018 16:48,R_5cMPynINVHh3k1d,,,,,44.979992,-93.079782,,EN,GE,Ramsey County,Bald Eagle-Otter Lake Regional Park,8,July,9,2018,4:00-6:00 PM,Yes,,0,0,0,0,0,0,Unknown
7/11/2018 16:40,7/11/2018 16:42,Offline,71.34.25.151,100,0,TRUE,7/11/2018 16:48,R_3BMwWK6kM9Lfbl8,,,,,44.980017,-93.07982,,EN,GE,Ramsey County,Keller Regional Park,7,July,9,2018,12:00-2:00 PM,Yes,,0,0,13,0,0,0,Unknown
7/11/2018 16:38,7/11/2018 16:40,Offline,71.34.25.151,100,0,TRUE,7/11/2018 16:48,R_50SEGVWtMztaBJA,,,,,44.980049,-93.079809,,EN,GE,Ramsey County,Lakes Link Regional Trail,6,July,8,2018,6:00-8:00 PM,Yes,,10,16,0,0,0,0,Unknown
7/11/2018 16:37,7/11/2018 16:38,Offline,71.34.25.151,100,0,TRUE,7/11/2018 16:48,R_eNSnNtza4Ac6rl3,,,,,44.980017,-93.07982,,EN,GE,Ramsey County,Highway 96 Regional Trail,10,July,8,2018,4:00-6:00 PM,Yes,,2,0,0,0,0,0,Unknown
7/11/2018 16:35,7/11/2018 16:36,Offline,71.34.25.151,100,0,TRUE,7/11/2018 16:48,R_hukt5eQqBM5y6Zu,,,,,44.980059,-93.079852,,EN,GE,Ramsey County,Rice Creek North Regional Trail,1,July,7,,10:00-12:00 PM,Yes,,21,12,11,0,0,0,Unknown
