Park,Entrance,Start_time,Class
34,8,1800,3
35,1,800,1
35,1,1000,1
35,1,1200,1
35,1,1400,1
35,1,1600,1
35,1,1800,1
35,2,800,3
35,2,1000,3
35,2,1200,3
35,2,1400,3
35,2,1600,3
35,2,1800,3
35,3,800,3
35,3,1000,3
35,3,1200,3
35,3,1400,3
35,3,1600,3
35,3,1800,3
35,4,800,2
35,4,1000,2
35,4,1200,2
35,4,1400,2
35,4,1600,2
35,4,1800,2
35,5,800,3
35,5,1000,3
35,5,1200,3
35,5,1400,3
35,5,1600,3
35,5,1800,3
35,6,800,3
35,6,1000,3
35,6,1200,3
35,6,1400,3
35,6,1600,3
35,6,1800,3
35,7,800,3
35,7,1000,3
35,7,1200,3
35,7,1400,3
35,7,1600,3
35,7,1800,3
35,8,800,3
35,8,1000,3
35,8,1200,3
35,8,1400,3
35,8,1600,3
35,8,1800,3
35,9,800,1
35,9,1000,1
35,9,1200,1
35,9,1400,1
35,9,1600,1
35,9,1800,1
35,33,800,3
35,33,1000,3
35,33,1200,3
35,33,1400,3
35,33,1600,3
35,33,1800,3
35,38,800,3
35,38,1000,3
35,38,1200,3
35,38,1400,3
35,38,1600,3
35,38,1800,3
36,1,800,1
36,1,1000,1
36,1,1200,1
36,1,1400,1
36,1,1600,1
36,1,1800,1
36,2,800,2
36,2,1000,2
36,2,1200,2
36,2,1400,2
36,2,1600,2
36,2,1800,2
37,1,800,1
37,1,1000,1
37,1,1200,1
37,1,1400,1
37,1,1600,1
37,1,1800,1
38,1,800,2
38,1,1000,2
38,1,1200,2
38,1,1400,2
38,1,1600,2
38,1,1800,2
38,2,800,3
38,2,1000,3
38,2,1200,3
38,2,1400,3
38,2,1600,3
38,2,1800,3
38,3,800,3
38,3,1000,3
38,3,1200,3
38,3,1400,3
38,3,1600,3
38,3,1800,3
38,4,800,2
38,4,1000,2
38,4,1200,2
38,4,1400,2
38,4,1600,2
38,4,1800,2
38,5,800,2
38,5,1000,2
38,5,1200,2
38,5,1400,2
38,5,1600,2
38,5,1800,2
38,6,800,2
38,6,1000,2
38,6,1200,2
38,6,1400,2
38,6,1600,2
38,6,1800,2
38,7,800,1
38,7,1000,1
38,7,1200,1
38,7,1400,1
38,7,1600,1
38,7,1800,1
38,8,800,1
38,8,1000,1
38,8,1200,1
38,8,1400,1
38,8,1600,1
38,8,1800,1
38,9,800,1
38,9,1000,1
38,9,1200,1
38,9,1400,1
38,9,1600,1
38,9,1800,1
38,10,800,1
38,10,1000,1
38,10,1200,1
38,10,1400,1
38,10,1600,1
38,10,1800,1
38,11,800,2
38,11,1000,2
38,11,1200,2
38,11,1400,2
38,11,1600,2
38,11,1800,2
38,12,800,3
38,12,1000,3
38,12,1200,3
38,12,1400,3
38,12,1600,3
38,12,1800,3
38,13,800,3
38,13,1000,3
38,13,1200,3
38,13,1400,3
38,13,1600,3
38,13,1800,3
38,14,800,3
38,14,1000,3
38,14,1200,3
38,14,1400,3
38,14,1600,3
38,14,1800,3
39,1,800,2
39,1,1000,2
39,1,1200,2
39,1,1400,2
39,1,1600,2
39,1,1800,2
39,2,800,2
39,2,1000,2
39,2,1200,2
39,2,1400,2
39,2,1600,2
39,2,1800,2
39,3,800,2
39,3,1000,2
39,3,1200,2
39,3,1400,2
39,3,1600,2
39,3,1800,2
39,4,800,2
39,4,1000,2
39,4,1200,2
39,4,1400,2
39,4,1600,2
39,4,1800,2
39,5,800,2
39,5,1000,2
39,5,1200,2
39,5,1400,2
39,5,1600,2
39,5,1800,2
39,6,800,1
39,6,1000,1
39,6,1200,1
39,6,1400,1
39,6,1600,1
39,6,1800,1
39,7,800,2
39,7,1000,2
39,7,1200,2
39,7,1400,2
39,7,1600,2
39,7,1800,2
39,8,800,3
39,8,1000,3
39,8,1200,3
39,8,1400,3
39,8,1600,3
39,8,1800,3
39,9,800,3
39,9,1000,3
39,9,1200,3
39,9,1400,3
39,9,1600,3
39,9,1800,3
39,10,800,2
39,10,1000,2
39,10,1200,2
39,10,1400,2
39,10,1600,2
39,10,1800,2
39,11,800,3
39,11,1000,3
39,11,1200,3
39,11,1400,3
39,11,1600,3
39,11,1800,3
39,12,800,3
39,12,1000,3
39,12,1200,3
39,12,1400,3
39,12,1600,3
39,12,1800,3
39,13,800,3
39,13,1000,3
39,13,1200,3
39,13,1400,3
39,13,1600,3
39,13,1800,3
39,14,800,3
39,14,1000,3
39,14,1200,3
39,14,1400,3
39,14,1600,3
39,14,1800,3
39,15,800,3
39,15,1000,3
39,15,1200,3
39,15,1400,3
39,15,1600,3
39,15,1800,3
39,16,800,3
39,16,1000,3
39,16,1200,3
39,16,1400,3
39,16,1600,3
39,16,1800,3
39,17,800,2
39,17,1000,2
39,17,1200,2
39,17,1400,2
39,17,1600,2
39,17,1800,2
39,18,800,3
39,18,1000,3
39,18,1200,3
39,18,1400,3
39,18,1600,3
39,18,1800,3
39,19,800,3
39,19,1000,3
39,19,1200,3
39,19,1400,3
39,19,1600,3
39,19,1800,3
39,20,800,1
39,20,1000,1
39,20,1200,1
39,20,1400,1
39,20,1600,1
39,20,1800,1
39,21,800,3
39,21,1000,3
39,21,1200,3
39,21,1400,3
39,21,1600,3
39,21,1800,3
39,22,800,3
39,22,1000,3
39,22,1200,3
39,22,1400,3
39,22,1600,3
39,22,1800,3
39,23,800,3
39,23,1000,3
39,23,1200,3
39,23,1400,3
39,23,1600,3
39,23,1800,3
39,24,800,3
39,24,1000,3
39,24,1200,3
39,24,1400,3
39,24,1600,3
39,24,1800,3
40,1,800,1
40,1,1000,1
40,1,1200,1
40,1,1400,1
40,1,1600,1
40,1,1800,1
40,2,800,3
40,2,1000,3
40,2,1200,3
40,2,1400,3
40,2,1600,3
40,2,1800,3
40,3,800,2
40,3,1000,2
40,3,1200,2
40,3,1400,2
40,3,1600,2
40,3,1800,2
40,4,800,3
40,4,1000,3
40,4,1200,3
40,4,1400,3
40,4,1600,3
40,4,1800,3
40,5,800,3
40,5,1000,3
40,5,1200,3
40,5,1400,3
40,5,1600,3
40,5,1800,3
40,6,800,3
40,6,1000,3
40,6,1200,3
40,6,1400,3
40,6,1600,3
40,6,1800,3
40,7,800,1
40,7,1000,1
40,7,1200,1
40,7,1400,1
40,7,1600,1
40,7,1800,1
40,8,800,1
40,8,1000,1
40,8,1200,1
40,8,1400,1
40,8,1600,1
40,8,1800,1
40,9,800,2
40,9,1000,2
40,9,1200,2
40,9,1400,2
40,9,1600,2
40,9,1800,2
40,10,800,3
40,10,1000,3
40,10,1200,3
40,10,1400,3
40,10,1600,3
40,10,1800,3
40,11,800,3
40,11,1000,3
40,11,1200,3
40,11,1400,3
40,11,1600,3
40,11,1800,3
40,12,800,2
40,12,1000,2
40,12,1200,2
40,12,1400,2
40,12,1600,2
40,12,1800,2
40,13,800,3
40,13,1000,3
40,13,1200,3
40,13,1400,3
40,13,1600,3
40,13,1800,3
40,14,800,3
40,14,1000,3
40,14,1200,3
40,14,1400,3
40,14,1600,3
40,14,1800,3
40,15,800,3
40,15,1000,3
40,15,1200,3
40,15,1400,3
40,15,1600,3
40,15,1800,3
41,3,800,1
41,3,1000,2
41,3,1200,2
41,3,1400,2
41,3,1600,2
41,3,1800,1
41,4,800,3
41,4,1000,3
41,4,1200,3
41,4,1400,3
41,4,1600,3
41,4,1800,3
41,5,800,1
41,5,1000,2
41,5,1200,2
41,5,1400,2
41,5,1600,1
41,5,1800,1
41,6,800,1
41,6,1000,2
41,6,1200,2
41,6,1400,2
41,6,1600,1
41,6,1800,1
41,7,800,1
41,7,1000,2
41,7,1200,2
41,7,1400,2
41,7,1600,1
41,7,1800,1
41,8,800,2
41,8,1000,2
41,8,1200,2
41,8,1400,2
41,8,1600,2
41,8,1800,2
41,13,800,1
41,13,1000,1
41,13,1200,2
41,13,1400,2
41,13,1600,1
41,13,1800,1
41,14,800,1
41,14,1000,1
41,14,1200,2
41,14,1400,2
41,14,1600,1
41,14,1800,1
42,1,800,2
42,1,1000,2
42,1,1200,1
42,1,1400,2
42,1,1600,1
42,1,1800,1
42,3,800,2
42,3,1000,2
42,3,1200,1
42,3,1400,2
42,3,1600,2
42,3,1800,1
42,4,800,2
42,4,1000,2
42,4,1200,1
42,4,1400,2
42,4,1600,1
42,4,1800,1
42,5,800,2
